,precision,recall,f1-score,support
action,0.41141732283464566,0.4771689497716895,0.4418604651162791,1314.0
adult,0.5618181818181818,0.523728813559322,0.5421052631578948,590.0
adventure,0.417910447761194,0.28903225806451616,0.34172387490465295,775.0
animation,0.4,0.18875502008032127,0.25648021828103684,498.0
biography,0.05,0.003787878787878788,0.007042253521126761,264.0
comedy,0.5868956743002545,0.6195272629599785,0.6027701554945772,7446.0
crime,0.24611398963730569,0.18811881188118812,0.2132435465768799,505.0
documentary,0.7525336016675052,0.799480757483201,0.7752971231811618,13096.0
drama,0.6387662158432238,0.6800617102556568,0.6587674352405352,13612.0
family,0.34220532319391633,0.22988505747126436,0.2750190985485103,783.0
fantasy,0.296969696969697,0.15217391304347827,0.20123203285420946,322.0
game-show,0.7894736842105263,0.6994818652849741,0.7417582417582418,193.0
history,0.17391304347826086,0.03292181069958848,0.05536332179930796,243.0
horror,0.6111111111111112,0.6737749546279492,0.6409149762624082,2204.0
music,0.5165289256198347,0.6839945280437757,0.5885815185403178,731.0
musical,0.2777777777777778,0.16304347826086957,0.2054794520547945,276.0
mystery,0.25555555555555554,0.07232704402515723,0.11274509803921569,318.0
news,0.4470588235294118,0.20994475138121546,0.2857142857142857,181.0
reality-tv,0.4374255065554231,0.41562853907134767,0.4262485481997677,883.0
romance,0.2935222672064777,0.21577380952380953,0.24871355060034306,672.0
sci-fi,0.46755162241887904,0.4907120743034056,0.4788519637462236,646.0
short,0.46218842416561046,0.4313880126182965,0.4462573934325923,5072.0
sport,0.5188470066518847,0.54292343387471,0.5306122448979592,431.0
talk-show,0.5264900662251656,0.40664961636828645,0.4588744588744589,391.0
thriller,0.32681159420289857,0.28364779874213836,0.3037037037037037,1590.0
war,0.362962962962963,0.3712121212121212,0.36704119850187267,132.0
western,0.8599221789883269,0.8565891472868217,0.858252427184466,1032.0
accuracy,0.6078782287822878,0.6078782287822878,0.6078782287822878,0.6078782287822878
macro avg,0.4456211483217048,0.39636049698825787,0.40980199445136384,54200.0
weighted avg,0.59203820417489,0.6078782287822878,0.5973526402336151,54200.0
